
Enter the ASCII Code to be searched:Code: 66 	 Type: Upper Case 	 ASCII Char: B
Enter the ASCII Code to be searched:Code: 114 	 Type: Lower Case 	 ASCII Char: r
Enter the ASCII Code to be searched:Code: 117 	 Type: Lower Case 	 ASCII Char: u
Enter the ASCII Code to be searched:Code: 99 	 Type: Lower Case 	 ASCII Char: c
Enter the ASCII Code to be searched:Code: 101 	 Type: Lower Case 	 ASCII Char: e
Enter the ASCII Code to be searched:Code: 32 	 Type: White Space 	 ASCII Char: space
Enter the ASCII Code to be searched:Code: 83 	 Type: Upper Case 	 ASCII Char: S
Enter the ASCII Code to be searched:Code: 97 	 Type: Lower Case 	 ASCII Char: a
Enter the ASCII Code to be searched:Code: 121 	 Type: Lower Case 	 ASCII Char: y
Enter the ASCII Code to be searched:Code: 115 	 Type: Lower Case 	 ASCII Char: s
Enter the ASCII Code to be searched:Code: 32 	 Type: White Space 	 ASCII Char: space
Enter the ASCII Code to be searched:Code: 72 	 Type: Upper Case 	 ASCII Char: H
Enter the ASCII Code to be searched:Code: 105 	 Type: Lower Case 	 ASCII Char: i
Enter the ASCII Code to be searched:Code: 33 	 Type: Special Character 	 ASCII Char: !
Enter the ASCII Code to be searched:Code: 7 	 Type: White Space 	 ASCII Char: bell(ring)
Enter the ASCII Code to be searched:Code: 9 	 Type: White Space 	 ASCII Char: horizontal tab
Enter the ASCII Code to be searched:Code: 50 	 Type: Digit 	 ASCII Char: 2
Enter the ASCII Code to be searched:Code: 48 	 Type: Digit 	 ASCII Char: 0
Enter the ASCII Code to be searched:Code: 49 	 Type: Digit 	 ASCII Char: 1
Enter the ASCII Code to be searched:Code: 57 	 Type: Digit 	 ASCII Char: 9
